,openmlid,learner,metric
2641,1112,sklearn.neural_network.MLPClassifier,0.8333333333333334
2642,1114,SVC_linear,0.5
2643,1114,SVC_poly,0.0
2644,1114,SVC_rbf,0.0
2645,1114,SVC_sigmoid,0.4166666666666667
2646,1114,sklearn.ensemble.GradientBoostingClassifier,0.5416666666666666
2647,1114,sklearn.linear_model.LogisticRegression,0.6666666666666666
2648,1114,sklearn.linear_model.PassiveAggressiveClassifier,0.75
2649,1114,sklearn.linear_model.Perceptron,0.7916666666666666
2650,1114,sklearn.linear_model.RidgeClassifier,0.7916666666666666
2651,1114,sklearn.linear_model.SGDClassifier,0.75
2652,1114,sklearn.neural_network.MLPClassifier,0.5789473684210527
2653,1116,SVC_linear,0.5
2654,1116,SVC_poly,0.2222222222222222
2655,1116,SVC_rbf,0.3333333333333333
2656,1116,SVC_sigmoid,0.5555555555555556
2657,1116,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.1111111111111111
2658,1116,sklearn.ensemble.GradientBoostingClassifier,0.2222222222222222
2659,1116,sklearn.linear_model.LogisticRegression,0.4444444444444444
2660,1116,sklearn.linear_model.PassiveAggressiveClassifier,0.7777777777777778
2661,1116,sklearn.linear_model.Perceptron,0.6111111111111112
2662,1116,sklearn.linear_model.SGDClassifier,0.7222222222222222
2663,1119,SVC_linear,0.2727272727272727
2664,1119,SVC_poly,0.4090909090909091
2665,1119,SVC_rbf,0.5454545454545454
2666,1119,SVC_sigmoid,0.3181818181818182
2667,1119,sklearn.ensemble.ExtraTreesClassifier,0.5454545454545454
2668,1119,sklearn.ensemble.GradientBoostingClassifier,0.2727272727272727
2669,1119,sklearn.ensemble.RandomForestClassifier,0.5454545454545454
2670,1119,sklearn.linear_model.LogisticRegression,0.4090909090909091
2671,1119,sklearn.linear_model.PassiveAggressiveClassifier,0.8636363636363636
2672,1119,sklearn.linear_model.Perceptron,0.8636363636363636
2673,1119,sklearn.linear_model.RidgeClassifier,0.4090909090909091
2674,1119,sklearn.linear_model.SGDClassifier,0.7272727272727273
2675,1119,sklearn.naive_bayes.BernoulliNB,0.7272727272727273
2676,1119,sklearn.naive_bayes.MultinomialNB,0.7272727272727273
2677,1119,sklearn.neighbors.KNeighborsClassifier,0.6363636363636364
2678,1119,sklearn.neural_network.MLPClassifier,0.6363636363636364
2679,1119,sklearn.tree.DecisionTreeClassifier,0.45454545454545453
2680,1119,sklearn.tree.ExtraTreeClassifier,0.6363636363636364
2681,1120,SVC_linear,0.65
2682,1120,SVC_poly,0.25
2683,1120,SVC_rbf,0.2
2684,1120,SVC_sigmoid,0.55
2685,1120,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.6
2686,1120,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.75
2687,1120,sklearn.ensemble.ExtraTreesClassifier,0.1
2688,1120,sklearn.ensemble.GradientBoostingClassifier,0.15
2689,1120,sklearn.ensemble.RandomForestClassifier,0.2
2690,1120,sklearn.linear_model.LogisticRegression,0.7
2691,1120,sklearn.linear_model.PassiveAggressiveClassifier,0.75
2692,1120,sklearn.linear_model.Perceptron,0.8
2693,1120,sklearn.linear_model.RidgeClassifier,0.65
2694,1120,sklearn.linear_model.SGDClassifier,0.85
2695,1120,sklearn.naive_bayes.BernoulliNB,0.95
2696,1120,sklearn.neighbors.KNeighborsClassifier,0.3
2697,1120,sklearn.neural_network.MLPClassifier,0.65
2698,1120,sklearn.tree.DecisionTreeClassifier,0.5
2699,1120,sklearn.tree.ExtraTreeClassifier,0.7
2700,1128,SVC_linear,0.42857142857142855
2701,1128,SVC_poly,0.5
2702,1128,SVC_rbf,0.2857142857142857
2703,1128,SVC_sigmoid,0.5714285714285714
2704,1128,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.35714285714285715
2705,1128,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.6428571428571429
2706,1128,sklearn.ensemble.ExtraTreesClassifier,0.42857142857142855
2707,1128,sklearn.ensemble.GradientBoostingClassifier,0.5714285714285714
2708,1128,sklearn.ensemble.RandomForestClassifier,0.42857142857142855
2709,1128,sklearn.linear_model.LogisticRegression,0.42857142857142855
2710,1128,sklearn.linear_model.PassiveAggressiveClassifier,0.35714285714285715
2711,1128,sklearn.linear_model.Perceptron,0.5714285714285714
2712,1128,sklearn.linear_model.RidgeClassifier,0.5714285714285714
2713,1128,sklearn.linear_model.SGDClassifier,0.6428571428571429
2714,1128,sklearn.naive_bayes.BernoulliNB,0.0
2715,1128,sklearn.naive_bayes.MultinomialNB,0.6428571428571429
2716,1128,sklearn.neighbors.KNeighborsClassifier,0.5
2717,1128,sklearn.neural_network.MLPClassifier,0.8571428571428571
2718,1128,sklearn.tree.DecisionTreeClassifier,0.7142857142857143
2719,1128,sklearn.tree.ExtraTreeClassifier,0.7857142857142857
2720,1130,SVC_linear,0.42857142857142855
2721,1130,SVC_poly,0.7142857142857143
2722,1130,SVC_rbf,0.07142857142857142
2723,1130,SVC_sigmoid,0.7857142857142857
2724,1130,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.5714285714285714
2725,1130,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.6428571428571429
2726,1130,sklearn.ensemble.ExtraTreesClassifier,0.6428571428571429
2727,1130,sklearn.ensemble.GradientBoostingClassifier,1.0
2728,1130,sklearn.ensemble.RandomForestClassifier,0.42857142857142855
2729,1130,sklearn.linear_model.LogisticRegression,0.42857142857142855
2730,1130,sklearn.linear_model.PassiveAggressiveClassifier,0.6428571428571429
2731,1130,sklearn.linear_model.Perceptron,0.5714285714285714
2732,1130,sklearn.linear_model.RidgeClassifier,0.6428571428571429
2733,1130,sklearn.linear_model.SGDClassifier,0.7857142857142857
2734,1130,sklearn.naive_bayes.BernoulliNB,0.0
2735,1130,sklearn.naive_bayes.MultinomialNB,1.0
2736,1130,sklearn.neighbors.KNeighborsClassifier,0.7142857142857143
2737,1130,sklearn.neural_network.MLPClassifier,0.9285714285714286
2738,1130,sklearn.tree.DecisionTreeClassifier,0.7142857142857143
2739,1130,sklearn.tree.ExtraTreeClassifier,0.8571428571428571
2740,1134,SVC_linear,0.7142857142857143
2741,1134,SVC_poly,0.42857142857142855
2742,1134,SVC_rbf,0.42857142857142855
2743,1134,SVC_sigmoid,0.2857142857142857
2744,1134,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.5714285714285714
2745,1134,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.6428571428571429
2746,1134,sklearn.ensemble.ExtraTreesClassifier,0.5
2747,1134,sklearn.ensemble.GradientBoostingClassifier,0.6428571428571429
2748,1134,sklearn.ensemble.RandomForestClassifier,0.2857142857142857
2749,1134,sklearn.linear_model.LogisticRegression,0.6428571428571429
2750,1134,sklearn.linear_model.PassiveAggressiveClassifier,0.6428571428571429
2751,1134,sklearn.linear_model.Perceptron,0.7142857142857143
2752,1134,sklearn.linear_model.RidgeClassifier,0.5714285714285714
2753,1134,sklearn.linear_model.SGDClassifier,0.7142857142857143
2754,1134,sklearn.naive_bayes.BernoulliNB,0.0
2755,1134,sklearn.naive_bayes.MultinomialNB,0.7857142857142857
2756,1134,sklearn.neighbors.KNeighborsClassifier,0.35714285714285715
2757,1134,sklearn.neural_network.MLPClassifier,0.7857142857142857
2758,1134,sklearn.tree.DecisionTreeClassifier,0.7142857142857143
2759,1134,sklearn.tree.ExtraTreeClassifier,0.5714285714285714
2760,1138,SVC_linear,0.6428571428571429
2761,1138,SVC_poly,0.7857142857142857
2762,1138,SVC_rbf,0.07142857142857142
2763,1138,SVC_sigmoid,0.7142857142857143
2764,1138,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.42857142857142855
2765,1138,sklearn.ensemble.GradientBoostingClassifier,0.6428571428571429
2766,1138,sklearn.linear_model.LogisticRegression,0.7857142857142857
2767,1138,sklearn.linear_model.PassiveAggressiveClassifier,0.8571428571428571
2768,1138,sklearn.linear_model.Perceptron,0.8571428571428571
2769,1138,sklearn.linear_model.SGDClassifier,0.7857142857142857
2770,1139,SVC_linear,0.7142857142857143
2771,1139,SVC_poly,1.0
2772,1139,SVC_rbf,0.07142857142857142
2773,1139,SVC_sigmoid,0.5
2774,1139,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.42857142857142855
2775,1139,sklearn.ensemble.GradientBoostingClassifier,0.6428571428571429
2776,1139,sklearn.linear_model.LogisticRegression,0.8571428571428571
2777,1139,sklearn.linear_model.PassiveAggressiveClassifier,1.0
2778,1139,sklearn.linear_model.Perceptron,0.7857142857142857
2779,1139,sklearn.linear_model.SGDClassifier,0.8571428571428571
2780,1142,SVC_linear,0.7142857142857143
2781,1142,SVC_poly,0.6428571428571429
2782,1142,SVC_rbf,0.5
2783,1142,SVC_sigmoid,0.5714285714285714
2784,1142,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.2857142857142857
2785,1142,sklearn.ensemble.GradientBoostingClassifier,0.6428571428571429
2786,1142,sklearn.linear_model.LogisticRegression,0.7142857142857143
2787,1142,sklearn.linear_model.PassiveAggressiveClassifier,0.7857142857142857
2788,1142,sklearn.linear_model.Perceptron,0.9285714285714286
2789,1142,sklearn.linear_model.SGDClassifier,0.8571428571428571
2790,1146,SVC_linear,0.7142857142857143
2791,1146,SVC_poly,0.5714285714285714
2792,1146,SVC_rbf,0.42857142857142855
2793,1146,SVC_sigmoid,0.5714285714285714
2794,1146,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.42857142857142855
2795,1146,sklearn.ensemble.GradientBoostingClassifier,0.6428571428571429
2796,1146,sklearn.linear_model.LogisticRegression,0.5714285714285714
2797,1146,sklearn.linear_model.PassiveAggressiveClassifier,0.7142857142857143
2798,1146,sklearn.linear_model.Perceptron,0.6428571428571429
2799,1146,sklearn.linear_model.SGDClassifier,0.7142857142857143
2800,1161,SVC_linear,0.6428571428571429
2801,1161,SVC_poly,0.2857142857142857
2802,1161,SVC_rbf,0.2857142857142857
2803,1161,SVC_sigmoid,0.35714285714285715
2804,1161,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.42857142857142855
2805,1161,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.7857142857142857
2806,1161,sklearn.ensemble.ExtraTreesClassifier,0.5
2807,1161,sklearn.ensemble.GradientBoostingClassifier,0.8571428571428571
2808,1161,sklearn.ensemble.RandomForestClassifier,0.35714285714285715
2809,1161,sklearn.linear_model.LogisticRegression,0.42857142857142855
2810,1161,sklearn.linear_model.PassiveAggressiveClassifier,0.5714285714285714
2811,1161,sklearn.linear_model.Perceptron,0.5714285714285714
2812,1161,sklearn.linear_model.RidgeClassifier,0.5
2813,1161,sklearn.linear_model.SGDClassifier,0.42857142857142855
2814,1161,sklearn.naive_bayes.BernoulliNB,0.35714285714285715
2815,1161,sklearn.naive_bayes.MultinomialNB,0.8571428571428571
2816,1161,sklearn.neighbors.KNeighborsClassifier,0.42857142857142855
2817,1161,sklearn.neural_network.MLPClassifier,0.6428571428571429
2818,1161,sklearn.tree.DecisionTreeClassifier,0.5714285714285714
2819,1161,sklearn.tree.ExtraTreeClassifier,0.6428571428571429
2820,1166,SVC_linear,0.7857142857142857
2821,1166,SVC_poly,0.6428571428571429
2822,1166,SVC_rbf,0.7857142857142857
2823,1166,SVC_sigmoid,0.5
2824,1166,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.7142857142857143
2825,1166,sklearn.ensemble.GradientBoostingClassifier,0.7857142857142857
2826,1166,sklearn.linear_model.LogisticRegression,0.5
2827,1166,sklearn.linear_model.PassiveAggressiveClassifier,0.7142857142857143
2828,1166,sklearn.linear_model.Perceptron,0.8571428571428571
2829,1166,sklearn.linear_model.SGDClassifier,0.6428571428571429
2830,1216,SVC_linear,0.9705882352941176
2831,1216,SVC_poly,0.16666666666666666
2832,1216,SVC_rbf,0.0
2833,1216,SVC_sigmoid,0.6071428571428571
2834,1216,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.7941176470588235
2835,1216,sklearn.ensemble.GradientBoostingClassifier,0.6470588235294118
2836,1216,sklearn.linear_model.LogisticRegression,0.38235294117647056
2837,1216,sklearn.linear_model.PassiveAggressiveClassifier,0.9411764705882353
2838,1216,sklearn.linear_model.Perceptron,0.8823529411764706
2839,1216,sklearn.linear_model.SGDClassifier,0.9705882352941176
2840,1233,SVC_linear,0.6666666666666666
2841,1233,SVC_poly,0.5
2842,1233,SVC_rbf,0.75
2843,1233,SVC_sigmoid,0.75
2844,1233,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.25
2845,1233,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.5
2846,1233,sklearn.ensemble.ExtraTreesClassifier,0.4166666666666667
2847,1233,sklearn.ensemble.GradientBoostingClassifier,0.5833333333333334
2848,1233,sklearn.ensemble.RandomForestClassifier,0.25
2849,1233,sklearn.linear_model.LogisticRegression,0.75
2850,1233,sklearn.linear_model.PassiveAggressiveClassifier,0.8333333333333334
2851,1233,sklearn.linear_model.Perceptron,0.75
2852,1233,sklearn.linear_model.RidgeClassifier,0.5
2853,1233,sklearn.linear_model.SGDClassifier,0.8333333333333334
2854,1233,sklearn.naive_bayes.BernoulliNB,0.25
2855,1233,sklearn.neighbors.KNeighborsClassifier,0.6666666666666666
2856,1233,sklearn.neural_network.MLPClassifier,0.9166666666666666
2857,1233,sklearn.tree.DecisionTreeClassifier,0.5833333333333334
2858,1233,sklearn.tree.ExtraTreeClassifier,0.6666666666666666
2859,1235,SVC_linear,0.78125
2860,1235,SVC_poly,0.37037037037037035
2861,1235,SVC_rbf,0.3333333333333333
2862,1235,SVC_sigmoid,0.7777777777777778
2863,1235,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.09375
