,openmlid,learner,max_violation
432,55,sklearn.tree.DecisionTreeClassifier,0.01160025000000009
433,55,sklearn.tree.ExtraTreeClassifier,0.041248749999999945
434,57,SVC_linear,0.014478363636363595
435,57,SVC_poly,0.01108254545454547
436,57,SVC_rbf,0.009040909090909058
437,57,SVC_sigmoid,0.009040909090909058
438,57,sklearn.ensemble.GradientBoostingClassifier,0.012631818181818175
439,57,sklearn.linear_model.LogisticRegression,0.007451636363636355
440,57,sklearn.linear_model.PassiveAggressiveClassifier,0.03961334806629831
441,57,sklearn.linear_model.Perceptron,0.0431433125
442,57,sklearn.linear_model.SGDClassifier,0.02918433149171268
443,60,SVC_linear,0.014053906249999915
444,60,SVC_poly,0.0023896817832436135
445,60,SVC_rbf,0.010010249999999943
446,60,SVC_sigmoid,0.018972363636363787
447,60,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.10879300000000008
448,60,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.09905693333333332
449,60,sklearn.ensemble.ExtraTreesClassifier,0.0025918125000000403
450,60,sklearn.ensemble.GradientBoostingClassifier,0.011638249999999961
451,60,sklearn.ensemble.RandomForestClassifier,0.008051249999999899
452,60,sklearn.linear_model.LogisticRegression,0.005182625000000052
